"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"EICHERMOT",3520,3647.5,3514.95,3405.3,3604.7,5.86,3665298,13239789435.6,"12-Aug-2022"
"M&M",1256.4,1278.8,1251.3,1251.3,1275.05,1.9,2427624,3077498944.8,"14-Jul-2022"
"INDUSINDBK",1192.5,1214,1176.05,1187.45,1208,1.73,3983609,4765551610.61,"11-Aug-2022"
"AXISBANK",895.2,913.6,894,895.95,911,1.68,10533272,9536613803.36,"07-Jul-2022"
"HINDUNILVR",2594,2640,2586.4,2592.4,2619.05,1.03,2170011,5688510235.62,"01-Nov-2022"
"HCLTECH",1086,1103.4,1077.45,1088.1,1098,0.91,1585037,1734474288.36,"28-Apr-2023"
"HDFCBANK",1647,1672.8,1644.25,1653.2,1667.95,0.89,11239380,18687492338.4,"16-May-2023"
"SBIN",574.7,580.75,571.55,573.45,578.1,0.81,11319335,6528992428,"25-May-2022"
"HEROMOTOCO",2595,2614,2586.2,2585.45,2601.1,0.61,718178,1869388606.88,"17-Feb-2023"
"BAJFINANCE",6650,6733.65,6604.7,6663.45,6701,0.56,912078,6110648976.6,"30-Jun-2022"
"BHARTIARTL",787.5,793.7,784.5,788.6,793,0.56,2576010,2036258624.7,"01-Aug-2022"
"TITAN",2760.8,2784.5,2756.85,2757.85,2771.95,0.51,705516,1956727460.52,"08-Jul-2022"
"ICICIBANK",939.75,948,935.1,939.2,943.5,0.46,13873480,13051476310,"08-Aug-2022"
"TATAMOTORS",513.9,520.5,510.3,511.6,513.8,0.43,19766717,10190928616.52,"18-Jul-2016"
"HDFC",2754.65,2785.55,2750,2767.15,2776.5,0.34,2634023,7301011291.63,"16-May-2023"
"BAJAJFINSV",1420,1428,1407,1420.4,1424.5,0.29,1300969,1849470540.09,"13-Sep-2022"
"TECHM",1044.05,1053.5,1034.05,1044.05,1046.95,0.28,1140016,1192240132.96,"09-Nov-2022"
"SBILIFE",1180,1193.95,1174,1185.4,1188.7,0.28,1158276,1373842746.36,"16-Mar-2023"
"APOLLOHOSP",4595,4640,4535,4595.3,4607,0.25,427837,1970938099.75,"24-Feb-2023"
"MARUTI",9260.95,9329.8,9232.65,9260.9,9272,0.12,403028,3738439364.64,"03-Aug-2022"
